Entity,Code,Year,Unadjusted gender wage gap (%),GDP per capita (Rate),Population
Argentina,ARG,2014,-3.62,19802.10001,42638000
Austria,AUT,2014,22.22,48787.49159,8615000
Belgium,BEL,2014,6.54,44601.36711,11221000
Bolivia,BOL,2014,6.18,6662.829762,10707000
Brazil,BRA,2014,15.97,16195.87112,202764000
Brunei,BRN,2014,2.74,80155.54299,410000
Bulgaria,BGR,2014,12.66,17508.8855,7246000
Colombia,COL,2014,2.99,13395.5162,46968000
Cyprus,CYP,2014,14.15,30383.51482,1152000
Czech Republic,CZE,2014,21.16,32263.31575,10591000
Denmark,DNK,2014,15.96,47901.44758,5664000
Dominican Republic,DOM,2014,8.25,13339.7627,10165000
Ecuador,ECU,2014,12.9,11483.9968,15952000
El Salvador,SLV,2014,-5.26,7258.967543,6295000
Estonia,EST,2014,28.16,28538.42864,1316000
Finland,FIN,2014,16.93,41470.20236,5461000
France,FRA,2014,15.5,40141.59032,64194000
Germany,DEU,2014,22.29,47092.48837,81450000
Guatemala,GTM,2014,0.68,7529.392068,15923000
Honduras,HND,2014,-15.05,4457.449578,8956000
Hungary,HUN,2014,15.12,25524.71762,9805000
Iceland,ISL,2014,16.55,44546.01045,329000
Ireland,IRL,2014,13.93,50994.30614,4627000
Israel,ISR,2014,15.52,34086.54876,7854000
Italy,ITA,2014,6.12,36070.8056,60410000
Latvia,LVA,2014,17.38,23808.01488,2021000
Lithuania,LTU,2014,13.29,28174.36352,2971000
Luxembourg,LUX,2014,5.38,101640.0534,555000
Macedonia,MKD,2014,9.15,13370.02058,2078000
Malaysia,MYS,2014,-1.43,25487.60943,29867000
Malta,MLT,2014,10.19,33229.47904,430000
Mexico,MEX,2014,6.65,17481.91639,120355000
Montenegro,MNE,2014,7.78,15371.14134,627000
Netherlands,NLD,2014,16.07,48606.25361,16893000
Nicaragua,NIC,2014,2.62,5040.53463,6143000
Norway,NOR,2014,14.45,66015.4403,5142000
Panama,PAN,2014,4.44,21087.7678,3901000
Paraguay,PRY,2014,5.41,8955.871048,6600000
Peru,PER,2014,20.51,12164.9573,30090000
Poland,POL,2014,7.73,25602.41744,38091000
Romania,ROU,2014,4.5,20609.58353,20036000
Serbia,SRB,2014,8.72,13771.38428,8898000
Slovakia,SVK,2014,19.66,28927.66876,5429000
Slovenia,SVN,2014,7,30854.09941,2067000
South Korea,KOR,2014,33.8,33587.5834,50608000
Spain,ESP,2014,12.5,33709.64924,46778000
Sweden,SWE,2014,13.85,46524.18091,9692000
Switzerland,CHE,2014,17.38,61902.16241,8206000
Turkey,TUR,2014,-1.26,24029.74348,77229000
United Kingdom,GBR,2014,20.91,40707.20099,65423000
Uruguay,URY,2014,8.62,20887.16177,3400000