LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Unadjusted gender wage gap (%),Flag Codes,primary_key,position,actual_gap_orig,actual_gap
AUS,WAGEGAP,EMPLOYEE,PC,A,2016,19.23076923,,AUS_2016,1,11.53846154,0.115384615
AUS,WAGEGAP,EMPLOYEE,PC,A,2016,11.53846154,,AUS_2016,2,11.53846154,0.115384615
AUS,WAGEGAP,EMPLOYEE,PC,A,2016,19.23076923,,AUS_2016,3,11.53846154,0.115384615
AUT,WAGEGAP,EMPLOYEE,PC,A,2016,17.16455018,,AUT_2016,1,15.67089964,0.156708996
AUT,WAGEGAP,EMPLOYEE,PC,A,2016,15.67089964,,AUT_2016,2,15.67089964,0.156708996
AUT,WAGEGAP,EMPLOYEE,PC,A,2016,17.16455018,,AUT_2016,3,15.67089964,0.156708996
BEL,WAGEGAP,EMPLOYEE,PC,A,2016,23.14935065,,BEL_2016,1,3.701298701,0.037012987
BEL,WAGEGAP,EMPLOYEE,PC,A,2016,3.701298701,,BEL_2016,2,3.701298701,0.037012987
BEL,WAGEGAP,EMPLOYEE,PC,A,2016,23.14935065,,BEL_2016,3,3.701298701,0.037012987
CAN,WAGEGAP,EMPLOYEE,PC,A,2016,15.88942308,,CAN_2016,1,18.22115385,0.182211539
CAN,WAGEGAP,EMPLOYEE,PC,A,2016,18.22115385,,CAN_2016,2,18.22115385,0.182211539
CAN,WAGEGAP,EMPLOYEE,PC,A,2016,15.88942308,,CAN_2016,3,18.22115385,0.182211539
CZE,WAGEGAP,EMPLOYEE,PC,A,2016,16.98828458,,CZE_2016,1,16.02343084,0.160234308
CZE,WAGEGAP,EMPLOYEE,PC,A,2016,16.02343084,,CZE_2016,2,16.02343084,0.160234308
CZE,WAGEGAP,EMPLOYEE,PC,A,2016,16.98828458,,CZE_2016,3,16.02343084,0.160234308
DNK,WAGEGAP,EMPLOYEE,PC,A,2016,22.13368598,,DNK_2016,1,5.732628038,0.05732628
DNK,WAGEGAP,EMPLOYEE,PC,A,2016,5.732628038,,DNK_2016,2,5.732628038,0.05732628
DNK,WAGEGAP,EMPLOYEE,PC,A,2016,22.13368598,,DNK_2016,3,5.732628038,0.05732628
FIN,WAGEGAP,EMPLOYEE,PC,A,2016,16.76387082,,FIN_2016,1,16.47225837,0.164722584
FIN,WAGEGAP,EMPLOYEE,PC,A,2016,16.47225837,,FIN_2016,2,16.47225837,0.164722584
FIN,WAGEGAP,EMPLOYEE,PC,A,2016,16.76387082,,FIN_2016,3,16.47225837,0.164722584
DEU,WAGEGAP,EMPLOYEE,PC,A,2016,17.24464061,,DEU_2016,1,15.51071879,0.155107188
DEU,WAGEGAP,EMPLOYEE,PC,A,2016,15.51071879,,DEU_2016,2,15.51071879,0.155107188
DEU,WAGEGAP,EMPLOYEE,PC,A,2016,17.24464061,,DEU_2016,3,15.51071879,0.155107188
GRC,WAGEGAP,EMPLOYEE,PC,A,2016,22.75686027,,GRC_2016,1,4.486279454,0.044862795
GRC,WAGEGAP,EMPLOYEE,PC,A,2016,4.486279454,,GRC_2016,2,4.486279454,0.044862795
GRC,WAGEGAP,EMPLOYEE,PC,A,2016,22.75686027,,GRC_2016,3,4.486279454,0.044862795
HUN,WAGEGAP,EMPLOYEE,PC,A,2016,20.31784141,,HUN_2016,1,9.364317181,0.093643172
HUN,WAGEGAP,EMPLOYEE,PC,A,2016,9.364317181,,HUN_2016,2,9.364317181,0.093643172
HUN,WAGEGAP,EMPLOYEE,PC,A,2016,20.31784141,,HUN_2016,3,9.364317181,0.093643172
ISL,WAGEGAP,EMPLOYEE,PC,A,2016,19.22827684,,ISL_2016,1,11.54344632,0.115434463
ISL,WAGEGAP,EMPLOYEE,PC,A,2016,11.54344632,,ISL_2016,2,11.54344632,0.115434463
ISL,WAGEGAP,EMPLOYEE,PC,A,2016,19.22827684,,ISL_2016,3,11.54344632,0.115434463
ITA,WAGEGAP,EMPLOYEE,PC,A,2016,22.22222222,,ITA_2016,1,5.555555553,0.055555556
ITA,WAGEGAP,EMPLOYEE,PC,A,2016,5.555555553,,ITA_2016,2,5.555555553,0.055555556
ITA,WAGEGAP,EMPLOYEE,PC,A,2016,22.22222222,,ITA_2016,3,5.555555553,0.055555556
JPN,WAGEGAP,EMPLOYEE,PC,A,2016,12.69935528,,JPN_2016,1,24.60128945,0.246012895
JPN,WAGEGAP,EMPLOYEE,PC,A,2016,24.60128945,,JPN_2016,2,24.60128945,0.246012895
JPN,WAGEGAP,EMPLOYEE,PC,A,2016,12.69935528,,JPN_2016,3,24.60128945,0.246012895
KOR,WAGEGAP,EMPLOYEE,PC,A,2016,6.666666665,,KOR_2016,1,36.66666667,0.366666667
KOR,WAGEGAP,EMPLOYEE,PC,A,2016,36.66666667,,KOR_2016,2,36.66666667,0.366666667
KOR,WAGEGAP,EMPLOYEE,PC,A,2016,6.666666665,,KOR_2016,3,36.66666667,0.366666667
MEX,WAGEGAP,EMPLOYEE,PC,A,2016,16.75387597,,MEX_2016,1,16.49224806,0.164922481
MEX,WAGEGAP,EMPLOYEE,PC,A,2016,16.49224806,,MEX_2016,2,16.49224806,0.164922481
MEX,WAGEGAP,EMPLOYEE,PC,A,2016,16.75387597,,MEX_2016,3,16.49224806,0.164922481
NZL,WAGEGAP,EMPLOYEE,PC,A,2016,21.11538462,,NZL_2016,1,7.769230769,0.077692308
NZL,WAGEGAP,EMPLOYEE,PC,A,2016,7.769230769,,NZL_2016,2,7.769230769,0.077692308
NZL,WAGEGAP,EMPLOYEE,PC,A,2016,21.11538462,,NZL_2016,3,7.769230769,0.077692308
POL,WAGEGAP,EMPLOYEE,PC,A,2016,20.29105953,,POL_2016,1,9.417880936,0.094178809
POL,WAGEGAP,EMPLOYEE,PC,A,2016,9.417880936,,POL_2016,2,9.417880936,0.094178809
POL,WAGEGAP,EMPLOYEE,PC,A,2016,20.29105953,,POL_2016,3,9.417880936,0.094178809
PRT,WAGEGAP,EMPLOYEE,PC,A,2016,17.84342696,,PRT_2016,1,14.31314608,0.143131461
PRT,WAGEGAP,EMPLOYEE,PC,A,2016,14.31314608,,PRT_2016,2,14.31314608,0.143131461
PRT,WAGEGAP,EMPLOYEE,PC,A,2016,17.84342696,,PRT_2016,3,14.31314608,0.143131461
SVK,WAGEGAP,EMPLOYEE,PC,A,2016,18.05040893,,SVK_2016,1,13.89918214,0.138991821
SVK,WAGEGAP,EMPLOYEE,PC,A,2016,13.89918214,,SVK_2016,2,13.89918214,0.138991821
SVK,WAGEGAP,EMPLOYEE,PC,A,2016,18.05040893,,SVK_2016,3,13.89918214,0.138991821
SWE,WAGEGAP,EMPLOYEE,PC,A,2016,20.91503268,,SWE_2016,1,8.169934641,0.081699346
SWE,WAGEGAP,EMPLOYEE,PC,A,2016,8.169934641,,SWE_2016,2,8.169934641,0.081699346
SWE,WAGEGAP,EMPLOYEE,PC,A,2016,20.91503268,,SWE_2016,3,8.169934641,0.081699346
CHE,WAGEGAP,EMPLOYEE,PC,A,2016,17.61881397,,CHE_2016,1,14.76237207,0.147623721
CHE,WAGEGAP,EMPLOYEE,PC,A,2016,14.76237207,,CHE_2016,2,14.76237207,0.147623721
CHE,WAGEGAP,EMPLOYEE,PC,A,2016,17.61881397,,CHE_2016,3,14.76237207,0.147623721
GBR,WAGEGAP,EMPLOYEE,PC,A,2016,16.6017316,,GBR_2016,1,16.7965368,0.167965368
GBR,WAGEGAP,EMPLOYEE,PC,A,2016,16.7965368,,GBR_2016,2,16.7965368,0.167965368
GBR,WAGEGAP,EMPLOYEE,PC,A,2016,16.6017316,,GBR_2016,3,16.7965368,0.167965368
USA,WAGEGAP,EMPLOYEE,PC,A,2016,15.92896175,,USA_2016,1,18.1420765,0.181420765
USA,WAGEGAP,EMPLOYEE,PC,A,2016,18.1420765,,USA_2016,2,18.1420765,0.181420765
USA,WAGEGAP,EMPLOYEE,PC,A,2016,15.92896175,,USA_2016,3,18.1420765,0.181420765
COL,WAGEGAP,EMPLOYEE,PC,A,2016,21.45412467,,COL_2016,1,7.091750669,0.070917507
COL,WAGEGAP,EMPLOYEE,PC,A,2016,7.091750669,,COL_2016,2,7.091750669,0.070917507
COL,WAGEGAP,EMPLOYEE,PC,A,2016,21.45412467,,COL_2016,3,7.091750669,0.070917507
CRI,WAGEGAP,EMPLOYEE,PC,A,2016,24.10714286,,CRI_2016,1,1.785714286,0.017857143
CRI,WAGEGAP,EMPLOYEE,PC,A,2016,1.785714286,,CRI_2016,2,1.785714286,0.017857143
CRI,WAGEGAP,EMPLOYEE,PC,A,2016,24.10714286,,CRI_2016,3,1.785714286,0.017857143
ISR,WAGEGAP,EMPLOYEE,PC,A,2016,14.20333398,,ISR_2016,1,21.59333204,0.21593332
ISR,WAGEGAP,EMPLOYEE,PC,A,2016,21.59333204,,ISR_2016,2,21.59333204,0.21593332
ISR,WAGEGAP,EMPLOYEE,PC,A,2016,14.20333398,,ISR_2016,3,21.59333204,0.21593332