Region,Date,Number
London,2009-04-01,352038.836271875
London,2010-04-01,388583.269035395
London,2011-04-01,402786.885127839
London,2011-05-01,421043.894063004
London,2011-06-01,428762.212912849
London,2011-07-01,436310.933430143
London,2011-08-01,446967.094762804
London,2011-09-01,431522.835764962
London,2011-10-01,439967.933356299
London,2011-11-01,442624.856904889
London,2011-12-01,442743.461237479
London,2012-01-01,442470.750696233
London,2012-02-01,441073.830393439
London,2012-03-01,431957.317666380
London,2012-04-01,423435.622753142
London,2012-05-01,395188.121879145
London,2012-06-01,390132.081441817
London,2012-07-01,401837.179479512
London,2012-08-01,405595.638736711
London,2012-09-01,396933.885318085
London,2012-10-01,403461.329098562
London,2012-11-01,382065.182503279
London,2012-12-01,388282.776607267
London,2013-01-01,386803.702682302
London,2013-02-01,411676.804406222
London,2013-03-01,393770.749164136
London,2013-04-01,391217.418253692
London,2013-05-01,394146.330803611
London,2013-06-01,399925.272453354
London,2013-07-01,385377.510698229
London,2013-08-01,398202.751366535
London,2013-09-01,403927.934422300
London,2013-10-01,396388.988624439
London,2013-11-01,379458.004558590
London,2013-12-01,372480.774174981
London,2014-01-01,378289.829197913
London,2014-02-01,365828.990322158
London,2014-03-01,357227.117703710
London,2014-04-01,348290.841039995
London,2014-05-01,343974.865817857
London,2014-06-01,333957.552738685
London,2014-07-01,318203.541507902
London,2014-08-01,301322.495645457
London,2014-09-01,287366.563567735
London,2014-10-01,296450.492071729
London,2014-11-01,297722.407154041
London,2014-12-01,294853.016851636
London,2015-01-01,283185.403152235
London,2015-02-01,287233.413245101
London,2015-03-01,285010.156629284
London,2015-04-01,285609.630021960
London,2015-05-01,308258.634310391
London,2015-06-01,306542.737444921
London,2015-07-01,296813.016324353
London,2015-08-01,275521.354879125
London,2015-09-01,296900.273547034
London,2015-10-01,294309.503560646
London,2015-11-01,288073.434867233
London,2015-12-01,293636.746974931
London,2016-01-01,290164.825360594
London,2016-02-01,290975.987626906
London,2016-03-01,274019.032674136
London,2016-04-01,279923.054685293
London,2016-05-01,278729.216492328
London,2016-06-01,280756.528355026
London,2016-07-01,289042.237300772
London,2016-08-01,291593.721716775
London,2016-09-01,266485.768380476
London,2016-10-01,259258.702674570
London,2016-11-01,265810.889910096
London,2016-12-01,260317.847276250
London,2017-01-01,268222.514140453
London,2017-02-01,282025.444385307
London,2017-03-01,296511.808876344
London,2017-04-01,290357.401526354
London,2017-05-01,270506.077412092
London,2017-06-01,271696.368105960
London,2017-07-01,253899.213141315
London,2017-08-01,241.000000000
London,2017-09-01,245.000000000
London,2017-10-01,240430.878056168
London,2017-11-01,254803.993540332
London,2017-12-01,245823.744312798
London,2018-01-01,246951.259118146
London,2018-02-01,238523.466526836
London,2018-03-01,246688.720440708
London,2018-04-01,259611.223505333
London,2018-05-01,255250.947172383
London,2018-06-01,241677.521673120
London,2018-07-01,235246.527382493
London,2018-08-01,237455.285495606
London,2018-09-01,233968.754848023
London,2018-10-01,236484.808443992
London,2018-11-01,226844.448920664
London,2018-12-01,217661.912167487
London,2019-01-01,206607.583659803
London,2019-02-01,217971.933436115
London,2019-03-01,214017.955042320
London,2019-04-01,208889.544307179
London,2019-05-01,208762.582633700
London,2019-06-01,221988.876807543
London,2019-07-01,225143.982368777
London,2019-08-01,225416.473325460
London,2019-09-01,222479.139734261
London,2019-10-01,221300.019638528
London,2019-11-01,213947.252182931
London,2019-12-01,212835.112040557
Northern Ireland,2009-04-01,51251.779822511
Northern Ireland,2010-04-01,59704.285795409
Northern Ireland,2011-04-01,61902.769748057
Northern Ireland,2011-05-01,61777.296245219
Northern Ireland,2011-06-01,63801.555943948
Northern Ireland,2011-07-01,63639.624299857
Northern Ireland,2011-08-01,64558.530292465
Northern Ireland,2011-09-01,61674.320145864
Northern Ireland,2011-10-01,59253.851100245
Northern Ireland,2011-11-01,57728.467338358
Northern Ireland,2011-12-01,60978.231121111
Northern Ireland,2012-01-01,55256.493662026
Northern Ireland,2012-02-01,58243.965768551
Northern Ireland,2012-03-01,58180.996035253
Northern Ireland,2012-04-01,61639.853910895
Northern Ireland,2012-05-01,60236.019499498
Northern Ireland,2012-06-01,67346.720671623
Northern Ireland,2012-07-01,71168.390997844
Northern Ireland,2012-08-01,70124.586808365
Northern Ireland,2012-09-01,66135.198342261
Northern Ireland,2012-10-01,67384.740377112
Northern Ireland,2012-11-01,67946.097506741
Northern Ireland,2012-12-01,66560.362007737
Northern Ireland,2013-01-01,72063.046028664
Northern Ireland,2013-02-01,70416.629785352
Northern Ireland,2013-03-01,69518.725525651
Northern Ireland,2013-04-01,67156.310574513
Northern Ireland,2013-05-01,67321.240513362
Northern Ireland,2013-06-01,63959.527184597
Northern Ireland,2013-07-01,59694.024069388
Northern Ireland,2013-08-01,62996.634007125
Northern Ireland,2013-09-01,63379.225184052
Northern Ireland,2013-10-01,65225.791968391
Northern Ireland,2013-11-01,63146.223737488
Northern Ireland,2013-12-01,63771.757982474
Northern Ireland,2014-01-01,65122.928928589
Northern Ireland,2014-02-01,67481.640391386
Northern Ireland,2014-03-01,62752.092591402
Northern Ireland,2014-04-01,60553.026509368
Northern Ireland,2014-05-01,58516.409201559
Northern Ireland,2014-06-01,58272.803273293
Northern Ireland,2014-07-01,57112.729358081
Northern Ireland,2014-08-01,53403.966374673
Northern Ireland,2014-09-01,52388.877925549
Northern Ireland,2014-10-01,54684.323428512
Northern Ireland,2014-11-01,50424.301039236
Northern Ireland,2014-12-01,49630.144720055
Northern Ireland,2015-01-01,51874.801991893
Northern Ireland,2015-02-01,53456.303801778
Northern Ireland,2015-03-01,55159.832990656
Northern Ireland,2015-04-01,53870.728848439
Northern Ireland,2015-05-01,54362.944919769
Northern Ireland,2015-06-01,56444.376747609
Northern Ireland,2015-07-01,54116.701729242
Northern Ireland,2015-08-01,52051.819926272
Northern Ireland,2015-09-01,51066.261959797
Northern Ireland,2015-10-01,53209.352469040
Northern Ireland,2015-11-01,51831.102704140
Northern Ireland,2015-12-01,50756.006066058
Northern Ireland,2016-01-01,52855.937104468
Northern Ireland,2016-02-01,56090.525105373
Northern Ireland,2016-03-01,54932.211126480
Northern Ireland,2016-04-01,51438.121496794
Northern Ireland,2016-05-01,51953.831631922
Northern Ireland,2016-06-01,53490.449988324
Northern Ireland,2016-07-01,49205.749939545
Northern Ireland,2016-08-01,49390.403788826
Northern Ireland,2016-09-01,50185.268827512
Northern Ireland,2016-10-01,50167.799614899
Northern Ireland,2016-11-01,49912.380180267
Northern Ireland,2016-12-01,47580.727515861
Northern Ireland,2017-01-01,50882.029634787
Northern Ireland,2017-02-01,45645.238823645
Northern Ireland,2017-03-01,46081.038902076
Northern Ireland,2017-04-01,47359.208811458
Northern Ireland,2017-05-01,45854.384921901
Northern Ireland,2017-06-01,46504.048480286
Northern Ireland,2017-07-01,46154.184060102
Northern Ireland,2017-08-01,41.000000000
Northern Ireland,2017-09-01,35.000000000
Northern Ireland,2017-10-01,33693.959273167
Northern Ireland,2017-11-01,33076.239244710
Northern Ireland,2017-12-01,34105.582334232
Northern Ireland,2018-01-01,27681.136928505
Northern Ireland,2018-02-01,30233.511856473
Northern Ireland,2018-03-01,27548.436086524
Northern Ireland,2018-04-01,28931.912678241
Northern Ireland,2018-05-01,30733.050741954
Northern Ireland,2018-06-01,33033.826227883
Northern Ireland,2018-07-01,35246.372258514
Northern Ireland,2018-08-01,38198.764805188
Northern Ireland,2018-09-01,35469.534849020
Northern Ireland,2018-10-01,33587.247945279
Northern Ireland,2018-11-01,29455.326754535
Northern Ireland,2018-12-01,33487.404528048
Northern Ireland,2019-01-01,31294.193929699
Northern Ireland,2019-02-01,26416.666872830
Northern Ireland,2019-03-01,25509.249490093
Northern Ireland,2019-04-01,27831.153753977
Northern Ireland,2019-05-01,27856.525781682
Northern Ireland,2019-06-01,27816.326908343
Northern Ireland,2019-07-01,25458.723069915
Northern Ireland,2019-08-01,25647.637805209
Northern Ireland,2019-09-01,22659.088221746
Northern Ireland,2019-10-01,20486.317972363
Northern Ireland,2019-11-01,20640.746367134
Northern Ireland,2019-12-01,21326.266725003
East Midlands,2009-04-01,174656.960066848
East Midlands,2010-04-01,167866.317071266
East Midlands,2011-04-01,179229.116791835
East Midlands,2011-05-01,184843.363949810
East Midlands,2011-06-01,186656.912049017
East Midlands,2011-07-01,187220.564601496
East Midlands,2011-08-01,184558.436055907
East Midlands,2011-09-01,188781.990519280
East Midlands,2011-10-01,183795.430663600
East Midlands,2011-11-01,190497.847706918
East Midlands,2011-12-01,188262.420684751
East Midlands,2012-01-01,188465.265897175
East Midlands,2012-02-01,189807.179351954
East Midlands,2012-03-01,182700.475849144
East Midlands,2012-04-01,186799.200676779
East Midlands,2012-05-01,193159.310736041
East Midlands,2012-06-01,192612.302702879
East Midlands,2012-07-01,193066.827904543
East Midlands,2012-08-01,179332.622266864
East Midlands,2012-09-01,180262.529764626
East Midlands,2012-10-01,185620.494118132
East Midlands,2012-11-01,191956.242176250
East Midlands,2012-12-01,178748.038675579
East Midlands,2013-01-01,178201.644531883
East Midlands,2013-02-01,174010.775672977
East Midlands,2013-03-01,176821.779318679
East Midlands,2013-04-01,178113.868234969
East Midlands,2013-05-01,177527.997663332
East Midlands,2013-06-01,181188.498588087
East Midlands,2013-07-01,168809.977673924
East Midlands,2013-08-01,175654.040122268
East Midlands,2013-09-01,165157.276793916
East Midlands,2013-10-01,162146.304407380
East Midlands,2013-11-01,147785.378756223
East Midlands,2013-12-01,160075.659425897
East Midlands,2014-01-01,162949.741065852
East Midlands,2014-02-01,161948.407758652
East Midlands,2014-03-01,153069.741337838
East Midlands,2014-04-01,141044.523211603
East Midlands,2014-05-01,132633.081091146
East Midlands,2014-06-01,126779.195475689
East Midlands,2014-07-01,129963.980341442
East Midlands,2014-08-01,128088.033720633
East Midlands,2014-09-01,132407.053450062
East Midlands,2014-10-01,132402.940404640
East Midlands,2014-11-01,128691.035537010
East Midlands,2014-12-01,114920.421667832
East Midlands,2015-01-01,117356.828980387
East Midlands,2015-02-01,115765.991708216
East Midlands,2015-03-01,114977.883633731
East Midlands,2015-04-01,114878.481547228
East Midlands,2015-05-01,113408.228967570
East Midlands,2015-06-01,111996.741626289
East Midlands,2015-07-01,111250.693218151
East Midlands,2015-08-01,109340.449553713
East Midlands,2015-09-01,104500.673012946
East Midlands,2015-10-01,100716.272651792
East Midlands,2015-11-01,100923.990099661
East Midlands,2015-12-01,106260.177482148
East Midlands,2016-01-01,103730.359398783
East Midlands,2016-02-01,106145.894034923
East Midlands,2016-03-01,109034.329294872
East Midlands,2016-04-01,106229.971651269
East Midlands,2016-05-01,106469.483698934
East Midlands,2016-06-01,103300.755929198
East Midlands,2016-07-01,102104.324514130
East Midlands,2016-08-01,108548.754355395
East Midlands,2016-09-01,108047.917731076
East Midlands,2016-10-01,112128.792158805
East Midlands,2016-11-01,107096.137075924
East Midlands,2016-12-01,113576.506285144
East Midlands,2017-01-01,102897.901026422
East Midlands,2017-02-01,95960.725284950
East Midlands,2017-03-01,93533.873954535
East Midlands,2017-04-01,96395.281145918
East Midlands,2017-05-01,89662.094603669
East Midlands,2017-06-01,92899.230874510
East Midlands,2017-07-01,91361.023368920
East Midlands,2017-08-01,98.000000000
East Midlands,2017-09-01,94.000000000
East Midlands,2017-10-01,98407.263971692
East Midlands,2017-11-01,97345.269361454
East Midlands,2017-12-01,97766.116372695
East Midlands,2018-01-01,98225.713210098
East Midlands,2018-02-01,99031.538932124
East Midlands,2018-03-01,96529.594498718
East Midlands,2018-04-01,96050.270171967
East Midlands,2018-05-01,100287.100685399
East Midlands,2018-06-01,98148.527600234
East Midlands,2018-07-01,96348.193257334
East Midlands,2018-08-01,101834.127143386
East Midlands,2018-09-01,104123.390925977
East Midlands,2018-10-01,103647.238619462
East Midlands,2018-11-01,110982.884153296
East Midlands,2018-12-01,121174.230737162
East Midlands,2019-01-01,113544.396718022
East Midlands,2019-02-01,104034.676617768
East Midlands,2019-03-01,98488.849369908
East Midlands,2019-04-01,105123.832558257
East Midlands,2019-05-01,104214.133912496
East Midlands,2019-06-01,105838.145549236
East Midlands,2019-07-01,115008.146752072
East Midlands,2019-08-01,111321.951031225
East Midlands,2019-09-01,110355.576749747
East Midlands,2019-10-01,89999.940714242
East Midlands,2019-11-01,95171.274549723
East Midlands,2019-12-01,89365.716868619